category,subcategory,recipe_id,recipe_name,quantity,unit,ingredient_name,directions
Dessert,Cake,4,Chocolate Mayonaise Cake,0.33,cup,cocoa,
Dessert,Cake,4,Chocolate Mayonaise Cake,2.25,tsp,baking powder,
Dessert,Cake,4,Chocolate Mayonaise Cake,1.5,tsp,baking soda,
Dessert,Cake,4,Chocolate Mayonaise Cake,1.5,cups,Best Foods Mayonnaise,
Dessert,Cake,4,Chocolate Mayonaise Cake,1.5,cups,water,
Dessert,Cake,4,Chocolate Mayonaise Cake,1.5,tsp,vanilla,
Dessert,Cake,5,Crazy Cake,1,box,lemon cake mix,"Mix first 5 ingredients well, about 4 minutes. Bake at 350 degrees in a 9x13 pan for 35 minutes. Poke holes in warm cake and pour on mixture of powdered sugar and lemon juice."
Dessert,Cake,5,Crazy Cake,0.75,cup,water,
Dessert,Cake,5,Crazy Cake,1,small pkg,lemon jello,
Dessert,Cake,5,Crazy Cake,0.75,cup,vegetable oil,
Dessert,Cake,5,Crazy Cake,4,,eggs,
Dessert,Cake,5,Crazy Cake,2,cups,powdered sugar,
Dessert,Cake,5,Crazy Cake,0.5,cups,lemon juice,
Dessert,Cake,6,Fresh Apple Cake,4,cups,diced apples,"Mix apples and sugar well. Add oil, nuts, and eggs. Add vanilla and dry ingredients. Bake at 350 degrees for 40-45 minutes. Serve with whipped cream or top with cream cheese frosting."
Dessert,Cake,6,Fresh Apple Cake,2,cups,sugar,
Dessert,Cake,6,Fresh Apple Cake,1,cups,chopped nuts,
Dessert,Cake,6,Fresh Apple Cake,2,,"eggs, well beaten",
Dessert,Cake,6,Fresh Apple Cake,2,tsp,vanilla,
Dessert,Cake,6,Fresh Apple Cake,2,cups,flour,
Dessert,Cake,6,Fresh Apple Cake,2,tsp,baking powder,
Dessert,Cake,6,Fresh Apple Cake,2,tsp,cinnamon,
Dessert,Cake,6,Fresh Apple Cake,0.5,cups,vegetable oil,
Dessert,Cake,6,Fresh Apple Cake,1,tsp,baking soda,
Dessert,Cake,6,Fresh Apple Cake,1,tsp,salt,
Dessert,Cake,7,Fresh Pear Cake,2,tbps,butter,"Butter and flour a 9 inch round pan. Peel and slice pears. Blend eggs, sugar, milk, and salt. Add flour, mix well. Fold 1/2 of pears into batter. Pour into pan, fan remaining pears on top. Dot with butter. Bake at 350 degrees about 55 minutes. Sprinkle with powdered sugar."
Dessert,Cake,7,Fresh Pear Cake,1.5,cups,flour,
Dessert,Cake,7,Fresh Pear Cake,3,,pears,
Dessert,Cake,7,Fresh Pear Cake,2,,eggs,
Dessert,Cake,7,Fresh Pear Cake,1,cup,sugar,
Dessert,Cake,7,Fresh Pear Cake,0.5,cup,milk,
Dessert,Cake,7,Fresh Pear Cake,0.125,tsp,salt,
Dessert,Cake,7,Fresh Pear Cake,,,powdered sugar,
Dessert,Cake,8,Graham Cracker Cake,0.5,cup,butter,"Cream butter and sugar. Add crushed crackers, sour milk, and soda. Stir in nuts. Bake in 10 inch square baking pan. Bake in 350 degree oven for 30-35 minutes. Serve with whipped cream or thin powdered sugar icing."
Dessert,Cake,8,Graham Cracker Cake,1,cup,sugar,
Dessert,Cake,8,Graham Cracker Cake,1,cup,sour milk,
Dessert,Cake,8,Graham Cracker Cake,32,,"graham crackers, crushed",
Dessert,Cake,8,Graham Cracker Cake,1,tsp,baking soda,
Dessert,Cake,8,Graham Cracker Cake,1,cup,chopped nuts,
Dessert,Cake,9,Hot Water Chocolate Cake,0.5,cup,margarine,Mix all ingredients together. Pour in 1 cup boiling water. Mix well. Bake about 35 minutes at 375 degrees.
Dessert,Cake,9,Hot Water Chocolate Cake,2,cups,sugar,
Dessert,Cake,9,Hot Water Chocolate Cake,2,,eggs,
Dessert,Cake,9,Hot Water Chocolate Cake,5,tbsp,cocoa,
Dessert,Cake,9,Hot Water Chocolate Cake,0.5,tsp,salt,
Dessert,Cake,9,Hot Water Chocolate Cake,0.5,cup,sour milk,
Dessert,Cake,9,Hot Water Chocolate Cake,2,tsp,baking soda,
Dessert,Cake,9,Hot Water Chocolate Cake,2,cup,flour,
Dessert,Cake,9,Hot Water Chocolate Cake,0.5,tsp,cloves,
Dessert,Cake,9,Hot Water Chocolate Cake,1,tsp,vanilla,
Dessert,Cake,10,Hungry Bear Cheese Cake,0.25,cup,"wheat germ, optional","Combine first 5 ingredients to make crust. Save 1/4 cup for top. Press remaining crumbs evenly over bottom and about 2 inches up sides of a 9 inch spring form pan. Prepare filling: beat cream cheese and cottage cheese until smooth. Add eggs, one at a time, bating well. Blend in lemon juice and vanilla. Mix sugar, flour and salt. Add to cheese mixture. Pour into crust. Bake at 350 degrees until set, about 35 to 40 minutes. Combine topping ingredients (sour cream, sugar, vanilla, and salt). Spread evenly over hot cheese cake. Return to oven until cream sets, about 5 minutes. Cool in pan on rack. Sprinkle reserved crumbs around edge of cake."
Dessert,Cake,10,Hungry Bear Cheese Cake,1.75,cup,graham cracker crumbs,
Dessert,Cake,10,Hungry Bear Cheese Cake,3,tbsp,sugar,
Dessert,Cake,10,Hungry Bear Cheese Cake,1,tsp,cinnamon,
Dessert,Cake,10,Hungry Bear Cheese Cake,0.33,cup,melted butter,
Dessert,Cake,10,Hungry Bear Cheese Cake,0.5,pint,sour cream,
Dessert,Cake,10,Hungry Bear Cheese Cake,0.33,cup,sugar,
Dessert,Cake,10,Hungry Bear Cheese Cake,1,tsp,vanilla,
Dessert,Cake,10,Hungry Bear Cheese Cake,0.125,tsp,salt,
Dessert,Cake,10,Hungry Bear Cheese Cake,8,ounces,cream cheese,
Dessert,Cake,10,Hungry Bear Cheese Cake,0.5,pint,cottage cheese,
Dessert,Cake,10,Hungry Bear Cheese Cake,4,,eggs,
Dessert,Cake,10,Hungry Bear Cheese Cake,1,tbsp,lemon juice,
Dessert,Cake,10,Hungry Bear Cheese Cake,2,tsp,vanilla,
Dessert,Cake,10,Hungry Bear Cheese Cake,0.66,cup,sugar,
Dessert,Cake,10,Hungry Bear Cheese Cake,2,tbsp,flour,
Dessert,Cake,10,Hungry Bear Cheese Cake,0.25,tsp,salt,
Dessert,Cake,11,Lemon Poppy Cake,1,pkg,lemon cake mix,Mix all for 4 minutes. Bake at 350 degrees for 40 minutes.
Dessert,Cake,11,Lemon Poppy Cake,4,,eggs,
Dessert,Cake,11,Lemon Poppy Cake,1,small pkg,lemon instant pudding,
Dessert,Cake,11,Lemon Poppy Cake,1,cup,water,
Dessert,Cake,11,Lemon Poppy Cake,0.5,cup,oil,
Dessert,Cake,11,Lemon Poppy Cake,0.25,cup,poppy seeds,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,4,cups,sifted flour,"Sift dry ingredients into a 4 quart bowl. Add fruit and nuts. Mix until well coated. Set aside. Cream butter, gradually add sugar and cream until fluffy. Add eggs one at a time, beating well after each. Add brandy. Combine with fruit mixture. Mix well. Turn into a 10 inch tube pan or four 1# coffee cans lined with foil, filling pans 2/3 full. Bake in slow oven, 275 degrees for 2.75 to 3 hours. About 1/2 hour before done brush lightly with honey or light corn syrup. Cool completely then wrap tightly in foil to store for several weeks. Brush with brandy about once a week."
Dessert,Cake,12,Light Old Fashioned Fruit Cake,0.5,tsp,baking powder,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,1.5,tsp,salt,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,1.5,tsp,cinnamon,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,1,tsp,nutmeg,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,24,ounces,whole pecans,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,1.75,cups,"canned pineapple, chopped",
Dessert,Cake,12,Light Old Fashioned Fruit Cake,1.75,cups,whole canned cherries,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,3.25,cups,golden raisins,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,1,cup,butter,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,2.25,cups,sugar,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,6,,eggs,
Dessert,Cake,12,Light Old Fashioned Fruit Cake,3,tbsp,brandy flavoring,
Dessert,Cake,13,My Best Gingerbread,0.5,cup,sugar,Bake in greased pan for 35 minutes at 325-350 degrees.
Dessert,Cake,13,My Best Gingerbread,0.5,cup,butter,
Dessert,Cake,13,My Best Gingerbread,1,,eggs,
Dessert,Cake,13,My Best Gingerbread,1,cup,molasses,
Dessert,Cake,13,My Best Gingerbread,2.5,cups,sifted flour,
Dessert,Cake,13,My Best Gingerbread,1.5,tsp,soda,
Dessert,Cake,13,My Best Gingerbread,1,tsp,cinnamon,
Dessert,Cake,13,My Best Gingerbread,1,tsp,ginger,
Dessert,Cake,13,My Best Gingerbread,0.5,tsp,cloves,
Dessert,Cake,13,My Best Gingerbread,0.5,tsp,salt,
Dessert,Cake,13,My Best Gingerbread,1,cup,hot water,
Dessert,Cake,14,Oatmeal Cake,1,cup,oatmeal,"Pour the water over the oatmeal. Let stand for 20 minutes. Add remaining cake ingredients. Mix well and pour into a greased 9""x12"" pan. Let stand while mixing topping. To prepare topping: Mix all ingredients together over low heat, until butter melts. Spoon over unbaked cake. Bake 45 minutes at 350 degrees."
Dessert,Cake,14,Oatmeal Cake,1.25,cups,boiling water,
Dessert,Cake,14,Oatmeal Cake,1,cup,brown sugar,
Dessert,Cake,14,Oatmeal Cake,1,cup,white sugar,
Dessert,Cake,14,Oatmeal Cake,0.5,cup,margarine,
Dessert,Cake,14,Oatmeal Cake,2,,eggs,
Dessert,Cake,14,Oatmeal Cake,1.33,cups,flour,
Dessert,Cake,14,Oatmeal Cake,0.5,tsp,salt,
Dessert,Cake,14,Oatmeal Cake,1,tsp,soda,
Dessert,Cake,14,Oatmeal Cake,1,tsp,nutmeg,
Dessert,Cake,14,Oatmeal Cake,1,tsp,cinnamon,
Dessert,Cake,14,Oatmeal Cake,1,cup,chopped nuts,
Dessert,Cake,14,Oatmeal Cake,0.5,cup,evaporated milk,
Dessert,Cake,14,Oatmeal Cake,6,tbsp,butter,
Dessert,Cake,14,Oatmeal Cake,1,cup,coconut,
Dessert,Cake,14,Oatmeal Cake,1,tsp,valencia peanuts,
Dessert,Cake,15,Orange Angel Food Cake,1,15-16 ounce pkg,angel food cake mix,"Prepare angel food cake as directed on package, but pour 1/3 cup of the thawed orange juice into a 2 cup measure and add enough water for the mixture to equal the amount of water called for in package directions. Continue to prepare cake as directed, baking the batter in an ungreased 10 inch tube pan. Immediately invert the cake, leaving in pan. Cool completely. Loosen sides of cake from pan; remove cake. To make the topping, in a medium bowl, gently stir together the thawed topping and yogurt. Fold in remaining orange juice concentrate. Spread topping mixture over top ad sides of cake."
Dessert,Cake,15,Orange Angel Food Cake,0.75,cup,"frozen orange juice concentrate, thawed",
Dessert,Cake,15,Orange Angel Food Cake,1,container,"frozen light whipped topping, thawed",
Dessert,Cake,15,Orange Angel Food Cake,0.5,cup,plain low fat yogurt,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,1,cup,"unsalted butter, softened","Preheat oven to 325 degrees. Grease and flour a 9x5x3 inch loaf pan; tap out excess flour. In large bowl beat together softened butter, sugar, vanilla, and orange peel until pale and fluffy. Beat in flour, then remaining ingredients, except the glaze (powdered sugar and 2.5 tsp. orange juice). Mix until well blended. Spread in prepared pan. With handle of a wooden spoon, make 1/2 inch deep score down center length of batter. Bake 50-60 minutes, until wooden pick inserted in center comes out clean. Cool in pan on rack 30 minutes; invert onto rack; remove pan. Cool completely. To prepare glaze seal powdered sugar and orange juice in small zipper-style bag. Gently massage mixture with fingers until blended and smooth. Snip off corner of bag. Drizzle glaze over cake. Let stand 1 hour or until glaze is set."
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,1,cup,sugar,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,2,tsp,vanilla,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,2,tsp,grated orange peel,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,2.25,cups,unsifted cake flour,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,0.5,cup,fresh orange juice,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,4,large,eggs,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,0.75,tsp,baking powder,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,0.25,tsp,baking soda,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,0.25,tsp,salt,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,2,tbsp,poppy seeds,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,0.5,cup,powdered sugar,
Dessert,Cake,16,Orange-Poppy Seed Pound Cake,2.5,tsp,fresh orange juice,
Dessert,Cake,17,Pineapple Cake,1,2 pound can,crushed pineapple,Spread pineapple in baking dish. Sprinkle cake mix on this. Dice butter on top. Sprinkle with almonds. Bake at 350 degrees for 30 minutes.
Dessert,Cake,17,Pineapple Cake,1,pkg,yellow cake mix,
Dessert,Cake,17,Pineapple Cake,1,cube,butter,
Dessert,Cake,17,Pineapple Cake,1,pkg,sliced almonds,
Dessert,Cake,18,Pineapple-Carrot Cake,1,cup,oil,"Mix all cake ingredients. Bake in greased and floured 9""x13"" pan at 350 degrees for 35 minutes. Frost when cool."
Dessert,Cake,18,Pineapple-Carrot Cake,2,cups,sugar,
Dessert,Cake,18,Pineapple-Carrot Cake,4,,eggs,
Dessert,Cake,18,Pineapple-Carrot Cake,2,cups,flour,
Dessert,Cake,18,Pineapple-Carrot Cake,1,tsp,soda,
Dessert,Cake,18,Pineapple-Carrot Cake,0.5,tsp,salt,
Dessert,Cake,18,Pineapple-Carrot Cake,1,tsp,cinnamon,
Dessert,Cake,18,Pineapple-Carrot Cake,1,tsp,vanilla,
Dessert,Cake,18,Pineapple-Carrot Cake,1,cup,"crushed pineapple, drained",
Dessert,Cake,18,Pineapple-Carrot Cake,2,cups,grated carrots,
Dessert,Cake,18,Pineapple-Carrot Cake,1,cup,chopped walnuts,
Dessert,Cake,19,Frosting,3,ounces,cream cheese,
Dessert,Cake,19,Frosting,0.25,pound,margarine,
Dessert,Cake,19,Frosting,2,cups,powdered sugar,
Dessert,Cake,19,Frosting,1,tsp,vanilla,
Dessert,Cake,19,Frosting,2,Tbsp,water,
Dessert,Cake,20,Potatoe Cake,2,cups,sugar,"Mix in order given. Bake at 350 degrees for 25 minutes in two, 9"" pans."
Dessert,Cake,20,Potatoe Cake,1,cup,shortening,
Dessert,Cake,20,Potatoe Cake,0.5,cup,milk,
Dessert,Cake,20,Potatoe Cake,1,cup,mashed potatoes,
Dessert,Cake,20,Potatoe Cake,4,,"eggs, beaten separately",
Dessert,Cake,20,Potatoe Cake,2,cups,flour,
Dessert,Cake,20,Potatoe Cake,2,tsp,baking powder,
Dessert,Cake,20,Potatoe Cake,2,tsp,cocoa,
Dessert,Cake,20,Potatoe Cake,1,cup,chopped walnuts,
Dessert,Cake,20,Potatoe Cake,1,tsp,vanilla,
Dessert,Cake,21,Pumpkin Swirl Cheesecake,2,cups,vanilla wafer crumbs,"Combine crumbs and melted margarine, press into bottom and sides of 9 inch form pan."
Dessert,Cake,21,Pumpkin Swirl Cheesecake,0.25,cups,melted margarine,
Dessert,Cake,21,Pumpkin Swirl Cheesecake,2,8 oz. pkgs.,lite cream cheese,"Combine cheese, 1/2 cup sugar and vanilla. Mix at medium speed until well blended. Add eggs, one at a time. Reserve 1 cup of this mixture, then add pumpkin, remaining sugar and spices to remaining cheese mixture. Mix well. Layer half of pumpkin mixture an half of cheese mixture over crust. Repeat layers. Cut through bater with knife several times to marble. Bake at 350 degrees for 55 minutes. Loosen from rim of pan. Cool before removing. Chill."
Dessert,Cake,21,Pumpkin Swirl Cheesecake,0.75,cups,sugar,
Dessert,Cake,21,Pumpkin Swirl Cheesecake,1,tsp,vanilla,
Dessert,Cake,21,Pumpkin Swirl Cheesecake,3,,eggs,
Dessert,Cake,21,Pumpkin Swirl Cheesecake,1,cup,pumpkin,
Dessert,Cake,21,Pumpkin Swirl Cheesecake,0.75,tsp,cinnamon,
Dessert,Cake,21,Pumpkin Swirl Cheesecake,0.25,tsp,nutmeg,
Dessert,Cake,22,Refrigerator Cheesecake,4,cups,cornflakes,"Crush flakes, mix with butter and sugar. Press 3/4 of mixture into spring for pan. Chill. Soften gelatin in water. Beat egg yolks slightly; stir in salt, sugar and milk. Cook over hot water or very low heat. Stir constantly until it thickens. Remove from heat. Stir in softened gelatin. Cool. Beat cheese until creamy. Combine with lemon rind and juice. Add to gelatin mixture, mixing well. Whip cream until stiff. Beat egg whites until stiff but not dry. Fold cheese mixture to whipped cream. Spread in pan over crumb mixture. Sprinkle remaining crumbs on top. Chill until firm."
Dessert,Cake,22,Refrigerator Cheesecake,0.33,cup,butter,
Dessert,Cake,22,Refrigerator Cheesecake,0.25,cup,sugar,
Dessert,Cake,22,Refrigerator Cheesecake,1.5,tbsp,gelatin,
Dessert,Cake,22,Refrigerator Cheesecake,0.5,cup,cold water,
Dessert,Cake,22,Refrigerator Cheesecake,2,,"eggs, separated",
Dessert,Cake,22,Refrigerator Cheesecake,0.5,tsp,salt,
Dessert,Cake,22,Refrigerator Cheesecake,0.5,cup,milk,
Dessert,Cake,22,Refrigerator Cheesecake,1,pound,cottage cheese,
Dessert,Cake,22,Refrigerator Cheesecake,1,tsp,grated lemon rind,
Dessert,Cake,22,Refrigerator Cheesecake,0.25,cup,lemon juice,
Dessert,Cake,22,Refrigerator Cheesecake,0.5,cup,heavy cream,
Dessert,Cake,23,Sherry Wine Cake,1,pkg,yellow cake mix,Beat for 5 minutes. Bake for 45 minutes at 350 degrees in angel food pan that has been greased and floured. Turn to 300 degrees after 20 minutes.
Dessert,Cake,23,Sherry Wine Cake,1,pkg,instant vanilla pudding,
Dessert,Cake,23,Sherry Wine Cake,4,,eggs,
Dessert,Cake,23,Sherry Wine Cake,0.75,cup,oil,
Dessert,Cake,23,Sherry Wine Cake,0.75,cup,sherry cooking wine,
Dessert,Cake,23,Sherry Wine Cake,1,tsp,nutmeg,
Dessert,Cake,24,Special Prune Cake,3,,eggs,"Blend sugar and oil. Add beaten eggs. Add dry ingredients with buttermilk. Add vanilla, prunes, and nuts. Pour into buttered pan about 12""x8"" in size. Bake at 300 degrees for 45 minutes. When cake is done and brown remove from oven and while still hot cover with icing. Icing Directions: Put all ingredients in medium saucepan and boil to soft ball stage. This will take 15 or 20 minutes, so start this before cake is to come out of the oven so icing may be poured on to cake immediately. Leave in pan, cut in squares to serve."
Dessert,Cake,24,Special Prune Cake,1,cup,oil,
Dessert,Cake,24,Special Prune Cake,1.5,cups,sugar,
Dessert,Cake,24,Special Prune Cake,1,tsp. each,"nutmeg, cinnamon, and allspice",
Dessert,Cake,24,Special Prune Cake,2,cups,flour,
Dessert,Cake,24,Special Prune Cake,0.25,tsp,salt,
Dessert,Cake,24,Special Prune Cake,1,tsp,soda,
Dessert,Cake,24,Special Prune Cake,0.5,tsp,baking powder,
Dessert,Cake,24,Special Prune Cake,1,cup,buttermilk,
Dessert,Cake,24,Special Prune Cake,1,tsp,vanilla,
Dessert,Cake,24,Special Prune Cake,1,cup,cooked prunes,
Dessert,Cake,24,Special Prune Cake,0.5,cup,chopped nuts,
Dessert,Cake,25,Buttermilk Icing,1,cup,sugar,
Dessert,Cake,25,Buttermilk Icing,0.5,cup,buttermilk,
Dessert,Cake,25,Buttermilk Icing,0.5,tsp,soda water,
Dessert,Cake,25,Buttermilk Icing,1,tbsp,white corn syrup,
Dessert,Cake,25,Buttermilk Icing,0.25,cup,butter,
Dessert,Cake,25,Buttermilk Icing,1,tsp,vanilla,
Dessert,Cake,26,Spicy Fruit and Nut Cake,1,cup,chopped pitted prunes,"Bake in greased and floured 9"" bundt pan at 350 degrees for 45-50 minutes. Cool 15 minutes. Loosen around edges with thin spatula. Pierce with a wooden pick. Glaze directions: Cook glaze ingredients over medium heat until full boil and butter melts. Ladle glaze over cake."
Dessert,Cake,26,Spicy Fruit and Nut Cake,1,cup,walnuts,
Dessert,Cake,26,Spicy Fruit and Nut Cake,2,cups,flour,
Dessert,Cake,26,Spicy Fruit and Nut Cake,1,tsp,baking soda,
Dessert,Cake,26,Spicy Fruit and Nut Cake,1.5,tsps,cinnamon,
Dessert,Cake,26,Spicy Fruit and Nut Cake,1.5,tsps,nutmeg,
Dessert,Cake,26,Spicy Fruit and Nut Cake,1,tsp,allspice,
Dessert,Cake,26,Spicy Fruit and Nut Cake,0.25,tsp,salt,
Dessert,Cake,26,Spicy Fruit and Nut Cake,1,cup,vegetable oil,
Dessert,Cake,26,Spicy Fruit and Nut Cake,1,cup,buttermilk,
Dessert,Cake,26,Spicy Fruit and Nut Cake,3,,eggs,
Dessert,Cake,27,Sweet Butter Glaze,0.5,cup,sugar,
Dessert,Cake,27,Sweet Butter Glaze,0.5,cup,buttermilk,
Dessert,Cake,27,Sweet Butter Glaze,0.5,tsp,soda,
Dessert,Cake,27,Sweet Butter Glaze,0.25,cup,unsalted butter,
Dessert,Cake,28,Strawberry Spice Loaf,3,cups,berries,"Bake in two 9"" loaf pans, greased and floured, at 350 degrees for one hour."
Dessert,Cake,28,Strawberry Spice Loaf,3,cups,flour,
Dessert,Cake,28,Strawberry Spice Loaf,2,cups,sugar,
Dessert,Cake,28,Strawberry Spice Loaf,1,tsp,salt,
Dessert,Cake,28,Strawberry Spice Loaf,3,tsps,cinnamon,
Dessert,Cake,28,Strawberry Spice Loaf,1,tsp,nutmeg,
Dessert,Cake,28,Strawberry Spice Loaf,1,tsp,soda water,
Dessert,Cake,28,Strawberry Spice Loaf,1.25,cups,oil,
Dessert,Cake,28,Strawberry Spice Loaf,4,,eggs,
Dessert,Cake,29,Three Layer Chocolate Mayonnaise Cake,4.5,cups,flour,"Grease three 9"" layer pans, one with waxed paper. Sift dry ingredients into large bowl. Stir in mayonnaise. Stir in water and vanilla until smooth. Pour into pans. Bake at 350 degrees for 30 minutes. Cool. Frost with chocolate frosting."
Dessert,Cake,29,Three Layer Chocolate Mayonnaise Cake,2.25,cups,sugar,
Dessert,Cake,29,Three Layer Chocolate Mayonnaise Cake,0.5,cups,cocoa,
Dessert,Cake,29,Three Layer Chocolate Mayonnaise Cake,3.5,tsps,baking powder,
Dessert,Cake,29,Three Layer Chocolate Mayonnaise Cake,2.25,tsps,baking soda,
Dessert,Cake,29,Three Layer Chocolate Mayonnaise Cake,2.25,cups,Best Foods Mayonnaise,
Dessert,Cake,29,Three Layer Chocolate Mayonnaise Cake,2.25,cups,water,
Dessert,Cake,29,Three Layer Chocolate Mayonnaise Cake,2.25,tsps,vanilla,
Dessert,Cake,30,Two Layer Chocolate Mayonnaise Cake,3,cups,flour,"Grease two 9"" layer pans, line with waxed paper. Sift dry ingredients into large bowl. Stir in mayonnaise. Stir in water and vanilla until smooth. Pour into pans. Bake at 350 degrees for 30 minutes. Cool. Frost with chocolate frosting."
Dessert,Cake,30,Two Layer Chocolate Mayonnaise Cake,1.5,cups,sugar,
Dessert,Cake,30,Two Layer Chocolate Mayonnaise Cake,0.33,cup,cocoa,
Dessert,Cake,30,Two Layer Chocolate Mayonnaise Cake,2.25,tsps,baking powder,
Dessert,Cake,30,Two Layer Chocolate Mayonnaise Cake,1.5,tsps,baking soda,
Dessert,Cake,30,Two Layer Chocolate Mayonnaise Cake,1.5,cups,Best Foods Mayonnaise,
Dessert,Cake,30,Two Layer Chocolate Mayonnaise Cake,1.5,cups,water,
Dessert,Cake,30,Two Layer Chocolate Mayonnaise Cake,1.5,tsps,vanilla,
Dessert,Cake,31,Upside Down Cake,0.33,cup,butter,"Melt butter in oven-proof skillet. Add brown sugar. Arrange fruit in pan. To make cake batter, beat eggs about 5 minutes until thick and lemon colored. Gradually add sugar. Then add all at once fruit juice an vanilla. Sift together and beat in flour, baking powder, and salt. Pour batter over fruit an bake until done, about 45 minutes at 350 degrees."
Dessert,Cake,31,Upside Down Cake,0.5,cup,brown sugar,
Dessert,Cake,31,Upside Down Cake,2,,eggs,
Dessert,Cake,31,Upside Down Cake,0.66,cup,sugar,
Dessert,Cake,31,Upside Down Cake,6,tbsp,fruit juice,
Dessert,Cake,31,Upside Down Cake,1,tsp,vanilla,
Dessert,Cake,31,Upside Down Cake,1,cup,sifted flour,
Dessert,Cake,31,Upside Down Cake,0.33,tsp,baking powder,
Dessert,Cake,31,Upside Down Cake,0.25,tsp,salt,
Dessert,Cookie,32,Blue Chip Cookie,0.5,cup,cold butter,Mix at low speed. Add chocolate chips and nuts by hand. Press into balls in cookie scoop. Bake at 300 degrees for 15 minutes on middle rack.
Dessert,Cookie,32,Blue Chip Cookie,0.5,cup,sugar,
Dessert,Cookie,32,Blue Chip Cookie,0.5,cup,brown sugar,
Dessert,Cookie,32,Blue Chip Cookie,1,tsp,vanilla,
Dessert,Cookie,32,Blue Chip Cookie,1,,eggs,
Dessert,Cookie,32,Blue Chip Cookie,1.5,cups,flour,
Dessert,Cookie,32,Blue Chip Cookie,0.5,tsp,baking soda,
Dessert,Cookie,32,Blue Chip Cookie,0.5,tsp,salt,
Dessert,Cookie,32,Blue Chip Cookie,1,package,chocolate chips,
